ID,Genre
1,pop
2,rap
3,rock
4,urbano latino
5,hip hop
6,trap latino
7,reggaeton
8,dance pop
9,pop rap
10,modern rock
11,pov: indie
12,musica mexicana
13,latin pop
14,classic rock
15,filmi
16,permanent wave
17,trap
18,alternative metal
19,k-pop
20,r&b
21,corrido
22,canadian pop
23,norteno
24,sierreno
25,album rock
26,soft rock
27,pop dance
28,sad sierreno
29,edm
30,hard rock
31,contemporary country
32,mellow gold
33,uk pop
34,melodic rap
35,modern bollywood
36,alternative rock
37,banda
38,post-grunge
39,corridos tumbados
40,sertanejo universitario
41,nu metal
42,country
43,art pop
44,atl hip hop
45,urban contemporary
46,sertanejo
47,southern hip hop
48,singer-songwriter
49,reggaeton colombiano
50,arrocha
51,french hip hop
52,colombian pop
53,alt z
54,country road
55,mexican pop
56,canadian hip hop
57,j-pop
58,indonesian pop
59,singer-songwriter pop
60,ranchera
61,new wave pop
62,indietronica
63,german hip hop
64,pop urbaine
65,rock en espanol
66,latin alternative
67,gangster rap
68,soul
69,k-pop boy group
70,latin arena pop
71,chicago rap
72,italian pop
73,heartland rock
74,k-pop girl group
75,agronejo
76,modern country pop
77,electro house
78,latin hip hop
79,canadian contemporary r&b
80,pop punk
81,neo mellow
82,pop rock
83,latin rock
84,punjabi pop
85,rap metal
86,trap argentino
87,new romantic
88,new wave
89,uk dance
90,slap house
91,modern alternative rock
92,indie pop
93,indie rock
94,house
95,conscious hip hop
96,modern country rock
97,east coast hip hop
98,folk rock
99,metal
100,turkish pop
101,bedroom pop
102,desi pop
103,italian hip hop
104,hoerspiel
105,afrobeats
106,adult standards
107,post-teen pop
108,neo soul
109,sped up
110,cloud rap
111,viral pop
112,talent show
113,spanish pop
114,punk
115,alternative r&b
116,grupera
117,west coast rap
118,opm
119,boy band
120,psychedelic rock
121,glam metal
122,stomp and holler
123,desi hip hop
124,ccm
125,rage rap
126,hip pop
127,puerto rican pop
128,german pop
129,miami hip hop
130,argentine rock
131,sertanejo pop
132,tropical
133,glam rock
134,funk carioca
135,nigerian pop
136,argentine hip hop
137,dark trap
138,latin viral pop
139,piano rock
140,detroit hip hop
141,italian adult pop
142,country rock
143,underground hip hop
144,mexican hip hop
145,progressive electro house
146,synthpop
147,metropopolis
148,garage rock
149,indie folk
150,vocal jazz
151,classical
152,europop
153,progressive house
154,art rock
155,yacht rock
156,mpb
157,pagode
158,tropical house
159,urbano espanol
160,chamber pop
161,rap francais
162,dance rock
163,j-rock
164,polish hip hop
165,sleep
166,folk
167,anime
168,trap brasileiro
169,disco
170,pluggnb
171,british soul
172,metalcore
173,australian pop
174,uk hip hop
175,christian music
176,gen z singer-songwriter
177,electropop
178,big room
179,forro
180,swedish pop
181,classic oklahoma country
182,reggaeton flow
183,pop nacional
184,british invasion
185,mexican rock
186,indie soul
187,contemporary r&b
188,folk-pop
189,white noise
190,pagode novo
191,soundtrack
192,funk metal
193,grunge
194,french pop
195,emo rap
196,salsa
197,rain
198,r&b francais
199,lgbtq+ hip hop
200,turkish rock
201,memphis hip hop
202,mariachi
203,brostep
204,classic soul
205,funk mtg
206,trap triste
207,dirty south rap
208,melodic metalcore
209,blues rock
210,alternative hip hop
211,melancholia
212,pop soul
213,brazilian gospel
214,outlaw country
215,orchestral soundtrack
216,dutch house
217,turkish hip hop
218,queens hip hop
219,christian alternative rock
220,mandopop
221,lounge
222,worship
223,dfw rap
224,electronica
225,pixel
226,trap italiana
227,pop reggaeton
228,new orleans rap
229,otacore
230,rock-and-roll
231,funk
232,quiet storm
233,motown
234,japanese teen pop
235,brazilian hip hop
236,gruperas inmortales
237,kleine hoerspiel
