VST3i: Surge XT (Surge Synth Team) (2->6ch)

ID,Name,Value Current,Value Middle,Value Min,Value Max,Context Current,Context Middle,Context Min,Context Max
000,M1: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
001,M2: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
002,M3: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
003,M4: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
004,M5: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
005,M6: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
006,M7: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
007,M8: -,00.00,00.50,00.00,01.00,0.000000,0.000000,0.000000,0.000000
008,Send FX 1 Return,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
009,Send FX 2 Return,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
010,Send FX 3 Return,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
011,Send FX 4 Return,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
012,Global Volume,01.00,00.50,00.00,01.00,0.00 dB,-24.00 dB,-48.00 dB,0.00 dB
013,Active Scene,00.00,00.50,00.00,01.00,0,1,0,1
014,Scene Mode,00.00,00.50,00.00,01.00,Single,Dual,Single,Channel split
015,Split Point,00.47,00.50,00.00,01.00,C4,E4,C-1,G9
016,FX Disable,00.00,00.50,00.00,01.00,-,-,-,-
017,Polyphony Limit,00.23,00.50,00.00,01.00,16,33,2,64
018,FX Chain Bypass,00.00,00.50,00.00,01.00,All FX,No Send and Global FX,All FX,All FX Off
019,FX A1 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
020,FX A1 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
021,FX A1 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
022,FX A1 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
023,FX A1 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
024,FX A1 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
025,FX A1 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
026,FX A1 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
027,FX A1 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
028,FX A1 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
029,FX A1 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
030,FX A1 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
031,FX A1 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
032,FX A2 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
033,FX A2 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
034,FX A2 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
035,FX A2 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
036,FX A2 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
037,FX A2 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
038,FX A2 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
039,FX A2 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
040,FX A2 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
041,FX A2 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
042,FX A2 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
043,FX A2 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
044,FX A2 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
045,FX B1 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
046,FX B1 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
047,FX B1 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
048,FX B1 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
049,FX B1 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
050,FX B1 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
051,FX B1 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
052,FX B1 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
053,FX B1 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
054,FX B1 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
055,FX B1 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
056,FX B1 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
057,FX B1 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
058,FX B2 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
059,FX B2 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
060,FX B2 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
061,FX B2 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
062,FX B2 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
063,FX B2 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
064,FX B2 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
065,FX B2 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
066,FX B2 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
067,FX B2 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
068,FX B2 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
069,FX B2 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
070,FX B2 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
071,FX S1 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
072,FX S1 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
073,FX S1 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
074,FX S1 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
075,FX S1 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
076,FX S1 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
077,FX S1 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
078,FX S1 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
079,FX S1 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
080,FX S1 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
081,FX S1 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
082,FX S1 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
083,FX S1 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
084,FX S2 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
085,FX S2 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
086,FX S2 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
087,FX S2 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
088,FX S2 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
089,FX S2 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
090,FX S2 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
091,FX S2 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
092,FX S2 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
093,FX S2 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
094,FX S2 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
095,FX S2 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
096,FX S2 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
097,FX G1 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
098,FX G1 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
099,FX G1 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
100,FX G1 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
101,FX G1 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
102,FX G1 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
103,FX G1 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
104,FX G1 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
105,FX G1 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
106,FX G1 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
107,FX G1 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
108,FX G1 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
109,FX G1 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
110,FX G2 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
111,FX G2 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
112,FX G2 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
113,FX G2 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
114,FX G2 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
115,FX G2 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
116,FX G2 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
117,FX G2 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
118,FX G2 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
119,FX G2 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
120,FX G2 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
121,FX G2 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
122,FX G2 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
123,FX A3 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
124,FX A3 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
125,FX A3 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
126,FX A3 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
127,FX A3 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
128,FX A3 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
129,FX A3 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
130,FX A3 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
131,FX A3 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
132,FX A3 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
133,FX A3 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
134,FX A3 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
135,FX A3 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
136,FX A4 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
137,FX A4 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
138,FX A4 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
139,FX A4 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
140,FX A4 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
141,FX A4 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
142,FX A4 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
143,FX A4 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
144,FX A4 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
145,FX A4 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
146,FX A4 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
147,FX A4 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
148,FX A4 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
149,FX B3 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
150,FX B3 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
151,FX B3 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
152,FX B3 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
153,FX B3 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
154,FX B3 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
155,FX B3 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
156,FX B3 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
157,FX B3 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
158,FX B3 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
159,FX B3 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
160,FX B3 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
161,FX B3 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
162,FX B4 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
163,FX B4 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
164,FX B4 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
165,FX B4 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
166,FX B4 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
167,FX B4 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
168,FX B4 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
169,FX B4 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
170,FX B4 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
171,FX B4 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
172,FX B4 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
173,FX B4 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
174,FX B4 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
175,FX S3 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
176,FX S3 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
177,FX S3 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
178,FX S3 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
179,FX S3 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
180,FX S3 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
181,FX S3 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
182,FX S3 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
183,FX S3 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
184,FX S3 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
185,FX S3 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
186,FX S3 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
187,FX S3 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
188,FX S4 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
189,FX S4 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
190,FX S4 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
191,FX S4 Param 3,00.00,00.50,00.00,01.00,-,-,-,-
192,FX S4 Param 4,00.00,00.50,00.00,01.00,-,-,-,-
193,FX S4 Param 5,00.00,00.50,00.00,01.00,-,-,-,-
194,FX S4 Param 6,00.00,00.50,00.00,01.00,-,-,-,-
195,FX S4 Param 7,00.00,00.50,00.00,01.00,-,-,-,-
196,FX S4 Param 8,00.00,00.50,00.00,01.00,-,-,-,-
197,FX S4 Param 9,00.00,00.50,00.00,01.00,-,-,-,-
198,FX S4 Param 10,00.00,00.50,00.00,01.00,-,-,-,-
199,FX S4 Param 11,00.00,00.50,00.00,01.00,-,-,-,-
200,FX S4 Param 12,00.00,00.50,00.00,01.00,-,-,-,-
201,FX G3 FX Type,00.00,00.50,00.00,01.00,Off,Airwindows,Off,Spring Reverb
202,FX G3 Param 1,00.00,00.50,00.00,01.00,-,-,-,-
203,FX G3 Param 2,00.00,00.50,00.00,01.00,-,-,-,-
